id,title,release_year,release_date,vote_average,popularity,vote_count
862,Toy Story,1995,1995-10-30,7.7,21.946943,5415.0
8844,Jumanji,1995,1995-12-15,6.9,17.015539,2413.0
15602,Grumpier Old Men,1995,1995-12-22,6.5,11.7129,92.0
31357,Waiting to Exhale,1995,1995-12-22,6.1,3.859495,34.0
11862,Father of the Bride Part II,1995,1995-02-10,5.7,8.387519,173.0
949,Heat (1995),1995,1995-12-15,7.7,17.924927,1886.0
11860,Sabrina (1995),1995,1995-12-15,6.2,6.677277,141.0
45325,Tom and Huck,1995,1995-12-22,5.4,2.561161,45.0
9091,Sudden Death,1995,1995-12-22,5.5,5.23158,174.0
710,GoldenEye,1995,1995-11-16,6.6,14.686036,1194.0
9087,The American President,1995,1995-11-17,6.5,6.318445,199.0
12110,Dracula: Dead and Loving It,1995,1995-12-22,5.7,5.430331,210.0
21032,Balto,1995,1995-12-22,7.1,12.140733,423.0
10858,Nixon,1995,1995-12-22,7.1,5.092,72.0
1408,Cutthroat Island,1995,1995-12-22,5.7,7.284477,137.0
524,Casino,1995,1995-11-22,7.8,10.137389,1343.0
4584,Sense and Sensibility (1995),1995,1995-12-13,7.2,10.673167,364.0
5,Four Rooms,1995,1995-12-09,6.5,9.026586,539.0
9273,Ace Ventura: When Nature Calls,1995,1995-11-10,6.1,8.205448,1128.0
11517,Money Train,1995,1995-11-21,5.4,7.337906,224.0
8012,Get Shorty,1995,1995-10-20,6.4,12.669608,305.0
1710,Copycat,1995,1995-10-27,6.5,10.701801,199.0
9691,Assassins,1995,1995-10-06,6.0,11.065939,394.0
12665,Powder,1995,1995-10-27,6.3,12.133094,143.0
451,Leaving Las Vegas,1995,1995-10-27,7.1,10.332025,365.0
16420,Othello (1995),1995,1995-12-15,7.0,1.845899,33.0
9263,Now and Then,1995,1995-10-20,6.6,8.681325,91.0
17015,Persuasion (1995),1995,1995-09-27,7.4,2.228434,36.0
902,The City of Lost Children,1995,1995-05-16,7.6,9.822423,308.0
37557,Shanghai Triad,1995,1995-04-30,6.5,1.100915,17.0
9909,Dangerous Minds,1995,1995-08-11,6.4,9.481338,249.0
63,Twelve Monkeys,1995,1995-12-29,7.4,12.297305,2470.0
78802,Wings of Courage,1996,1996-09-18,6.8,0.745542,4.0
9598,Babe,1995,1995-07-18,6.0,14.404764,756.0
47018,Carrington,1995,1995-11-08,6.4,1.493361,16.0
687,Dead Man Walking,1995,1995-12-29,7.3,6.891317,350.0
139405,Across the Sea of Time,1995,1995-10-20,3.5,0.114469,2.0
33689,It Takes Two (1995),1995,1995-11-17,6.1,7.777735,149.0
9603,Clueless,1995,1995-07-19,6.9,9.882383,828.0
34615,"Cry, the Beloved Country (1995)",1995,1995-12-15,6.7,0.894647,13.0
31174,Richard III (1995),1995,1995-12-29,6.9,4.561387,50.0
11443,Dead Presidents,1995,1995-10-06,6.6,9.87957,80.0
35196,Restoration (1995),1995,1995-12-29,6.3,10.979269,30.0
9312,Mortal Kombat,1995,1995-08-18,5.4,10.870138,452.0
577,To Die For,1995,1995-05-20,6.7,10.448481,177.0
11861,How To Make An American Quilt,1995,1995-10-06,6.5,4.485958,38.0
807,Se7en,1995,1995-09-22,8.1,18.45743,5915.0
10530,Pocahontas,1995,1995-06-14,6.7,13.280069,1509.0
8391,When Night Is Falling,1995,1995-05-05,5.9,3.302524,10.0
629,The Usual Suspects,1995,1995-07-19,8.1,16.302466,3334.0
117164,Guardian Angel,1994,1994-11-22,6.3,0.595949,3.0
11448,Mighty Aphrodite,1995,1995-09-13,6.7,15.899134,145.0
49133,Lamerica (1994),1994,1994-01-01,7.7,1.361286,11.0
26441,The Big Green,1995,1995-09-29,5.2,5.982764,41.0
97406,Georgia,1995,1995-05-19,6.1,4.093443,15.0
124057,Kids of the Round Table,1997,1997-07-08,3.0,0.307075,1.0
9089,Home for the Holidays (1995),1995,1995-11-02,6.3,8.416802,39.0
11010,The Postman (1994),1994,1994-09-22,7.6,10.168437,181.0
99040,The Confessional,1995,1995-09-29,6.5,0.120789,2.0
11359,The Indian in the Cupboard,1995,1995-07-14,5.9,10.673296,136.0
17182,Eye for an Eye (1996),1996,1996-01-12,5.8,4.733526,65.0
2054,Mr. Holland's Opus,1995,1995-12-29,6.9,7.137117,115.0
10607,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996,1996-01-12,6.2,11.700115,192.0
19760,Two If by Sea,1996,1996-01-12,4.5,2.174487,14.0
9536,Bio-Dome,1996,1996-01-12,4.4,6.387469,110.0
11525,Lawnmower Man 2: Beyond Cyberspace,1996,1996-01-12,2.8,2.49535,32.0
40628,Two Bits,1995,1995-10-22,5.4,4.046208,11.0
4482,French Twist,1995,1995-02-08,6.0,2.518051,43.0
10634,Friday (1995),1995,1995-04-26,7.0,14.56965,513.0
755,From Dusk Till Dawn,1996,1996-01-19,6.9,15.339153,1644.0
