id,title,original_title,release_year
76600,2020)Avatar 2 (0,Avatar 2,2020
299782,2018)The Other Side of the Wind (0,The Other Side of the Wind,2018
38700,2018)Bad Boys for Life (0,Bad Boys for Life,2018
332283,2018)Mary Shelley (0,Mary Shelley,2018
412059,2018)Mobile Homes (0,Mobile Homes,2018
302349,2018)Iron Sky: The Coming Race (0,Iron Sky: The Coming Race,2018
252983,2017)Sly Cooper (0,Sly Cooper,2017
245842,2017)The King's Daughter (0,The King's Daughter,2017
341689,2017)How to Talk to Girls at Parties (0,How to Talk to Girls at Parties,2017
353616,2017)Pitch Perfect 3 (0,Pitch Perfect 3,2017
433086,2017)Machines (0,Machines,2017
413992,2017)Sweet Virginia (0,Sweet Virginia,2017
141052,2017)Justice League (0,Justice League,2017
359749,2017)78/52 (0,78/52,2017
398818,2017)Call Me by Your Name (0,Call Me by Your Name,2017
284053,2017)Thor: Ragnarok (0,Thor: Ragnarok,2017
271404,2017)Beyond Skyline (0,Beyond Skyline,2017
432607,2017)Dina (0,Dina,2017
439502,2017)Resurrecting Hassan (0,Resurrecting Hassan,2017
300665,2017)Leatherface (0,Leatherface,2017
374471,2017)Porto (0,Porto,2017
428493,2017)God's Own Country (0,God's Own Country,2017
426264,2017)The Trip to Spain (0,The Trip to Spain,2017
354282,2017)Science Fiction Volume One: The Osiris Child (0,Science Fiction Volume One: The Osiris Child,2017
460135,2017)LEGO DC Super Hero Girls: Brain Drain (0,LEGO DC Super Hero Girls: Brain Drain,2017
406990,2017)What Happened to Monday (0,What Happened to Monday,2017
426256,2017)Patti Cake$ (0,Patti Cake$,2017
429200,2017)Good Time (0,Good Time,2017
411741,2017)Ingrid Goes West (0,Ingrid Goes West,2017
336000,2017)The Glass Castle (0,The Glass Castle,2017
455963,2017)A Gray State (0,A Gray State,2017
293768,2017)Kidnap (0,Kidnap,2017
414455,2017)Chronically Metropolitan (0,Chronically Metropolitan,2017
414453,2017)Columbus (0,Columbus,2017
395834,2017)Wind River (0,Wind River,2017
353491,2017)The Dark Tower (1,The Dark Tower,2017
394822,2017)London Town (0,London Town,2017
437623,2017)Hostages (0,Hostages,2017
461297,2017)Cop and a Half: New Recruit (0,Cop and a Half: New Recruit,2017
461053,2017)S.W.A.T.: Under Siege (0,S.W.A.T.: Under Siege,2017
433945,2017)Tokyo Ghoul (0,Tokyo Ghoul,2017
378236,2017)The Emoji Movie (0,The Emoji Movie,2017
468707,2017)Thick Lashes of Lauri Mäntyvaara (0,Thick Lashes of Lauri Mäntyvaara,2017
407448,2017)Detroit (0,Detroit,2017
432602,2017)An Inconvenient Sequel: Truth to Power (0,An Inconvenient Sequel: Truth to Power,2017
403431,2017)Brigsby Bear (0,Brigsby Bear,2017
413644,2017)The Son of Bigfoot (0,The Son of Bigfoot,2017
341013,2017)Atomic Blonde (0,Atomic Blonde,2017
410554,2017)First Kill (0,First Kill,2017
